Dataset,Crossover Rate,Crossover,Mutation,Population Size,Generations,Mutation Rate,Best Distance,Execution Time (s)
berlin52.txt,0.1,pmx_crossover,swap_mutation,100,499,0.01,16578.55,1.15
berlin52.txt,0.5,pmx_crossover,swap_mutation,100,499,0.01,14256.91,1.48
berlin52.txt,1.0,pmx_crossover,swap_mutation,100,125,0.01,14170.73,0.42
berlin52.txt,0.1,pmx_crossover,swap_mutation,100,253,0.1,13817.06,0.56
berlin52.txt,0.5,pmx_crossover,swap_mutation,100,499,0.1,11894.17,1.43
berlin52.txt,1.0,pmx_crossover,swap_mutation,100,499,0.1,10666.42,1.72
berlin52.txt,0.1,pmx_crossover,swap_mutation,100,866,0.01,13992.23,2.01
berlin52.txt,0.5,pmx_crossover,swap_mutation,100,999,0.01,12876.96,2.48
berlin52.txt,1.0,pmx_crossover,swap_mutation,100,819,0.01,12795.54,2.63
berlin52.txt,0.1,pmx_crossover,swap_mutation,100,399,0.1,16064.61,0.89
berlin52.txt,0.5,pmx_crossover,swap_mutation,100,999,0.1,10316.08,2.48
berlin52.txt,1.0,pmx_crossover,swap_mutation,100,876,0.1,10581.15,2.54
berlin52.txt,0.1,pmx_crossover,swap_mutation,100,1999,0.01,13100.53,4.58
berlin52.txt,0.5,pmx_crossover,swap_mutation,100,963,0.01,12021.51,2.68
berlin52.txt,1.0,pmx_crossover,swap_mutation,100,1653,0.01,12371.92,5.06
berlin52.txt,0.1,pmx_crossover,swap_mutation,100,616,0.1,13861.07,1.42
berlin52.txt,0.5,pmx_crossover,swap_mutation,100,1312,0.1,10217.36,3.69
berlin52.txt,1.0,pmx_crossover,swap_mutation,100,1677,0.1,9892.66,5.09
berlin52.txt,0.1,pmx_crossover,swap_mutation,200,68,0.01,18163.67,0.32
berlin52.txt,0.5,pmx_crossover,swap_mutation,200,67,0.01,16009.56,0.39
berlin52.txt,1.0,pmx_crossover,swap_mutation,200,82,0.01,14924.86,0.82
berlin52.txt,0.1,pmx_crossover,swap_mutation,200,16,0.1,22245.12,0.09
berlin52.txt,0.5,pmx_crossover,swap_mutation,200,99,0.1,11598.46,0.62
berlin52.txt,1.0,pmx_crossover,swap_mutation,200,99,0.1,10767.05,0.68
berlin52.txt,0.1,pmx_crossover,swap_mutation,200,387,0.01,13634.68,1.7
berlin52.txt,0.5,pmx_crossover,swap_mutation,200,499,0.01,11954.22,2.45
